show_id,type,title,director,casts,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Sacred Games,Anurag Kashyap,"Saif Ali Khan, Nawazuddin Siddiqui, Radhika Apte",India,"January 5, 2022",2018,TV-MA,90 min,"Crime, Drama, Thriller",A police officer is given 25 days to save Mumbai from a catastrophic threat involving kill orders from an underworld don.
s2,TV Show,Stranger Things,Shawn Levy,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder",United States,"July 4, 2022",2022,TV-14,4 Seasons,"Drama, Fantasy, Horror","When a boy disappears, his friends and family uncover a secret government lab and supernatural forces in a small town."
s3,Movie,The Dark Knight,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart",United States,"March 1, 2020",2008,PG-13,152 min,"Action, Crime, Drama","Batman faces the Joker, a criminal mastermind who brings violence and chaos to Gotham City in his twisted game."
s4,TV Show,Money Heist,Álex Pina,"Álvaro Morte, Itziar Ituño, Úrsula Corberó",Spain,"February 20, 2021",2021,TV-MA,5 Seasons,"Action, Crime, Drama",A criminal mastermind recruits eight thieves to pull off the greatest heist in history against the Spanish Mint.
s5,Movie,Dangal,Nitesh Tiwari,"Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra",India,"June 15, 2020",2016,TV-PG,161 min,"Action, Biography, Drama",A former wrestler trains his daughters to become world-class wrestlers in a male-dominated sport in India.
s6,TV Show,Breaking Bad,Vince Gilligan,"Bryan Cranston, Aaron Paul, Anna Gunn",United States,"January 1, 2021",2013,TV-MA,5 Seasons,"Crime, Drama, Thriller",A high school chemistry teacher turned drug manufacturer partners with a former student to build a drug empire.
s7,Movie,Extraction,Sam Hargrave,"Chris Hemsworth, Rudhraksh Jaiswal, Randeep Hooda",India,"April 24, 2020",2020,TV-MA,116 min,"Action, Thriller",A black-market mercenary is hired to rescue an Indian drug lords kidnapped son from a ruthless villain.
s8,TV Show,The Crown,Peter Morgan,"Olivia Colman, Tobias Menzies, Helena Bonham Carter",United Kingdom,"November 15, 2020",2020,TV-MA,6 Seasons,"Biography, Drama, History",Follows the political rivalries and romance of Queen Elizabeth IIs reign and the events that shaped the second half of the 20th century.
s9,Movie,Roma,Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey",Mexico,"December 14, 2021",2018,R,135 min,Drama,A year in the life of a middle-class family in Mexico City in the early 1970s told through the eyes of their housekeeper.
s10,TV Show,Dark,Baran bo Odar,"Louis Hofmann, Oliver Masucci, Karoline Eichhorn",Germany,"June 21, 2020",2020,TV-MA,3 Seasons,"Drama, Mystery, Sci-Fi",A family saga with a supernatural twist set in a German town where the disappearance of children exposes a time-travel conspiracy.
s11,Movie,Parasite,Bong Joon-ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",South Korea,"April 8, 2020",2019,R,132 min,"Comedy, Drama, Thriller","A poor family schemes to become employed by a wealthy household, leading to unexpected and violent consequences."
s12,TV Show,Narcos,Chris Brancato,"Wagner Moura, Boyd Holbrook, Pedro Pascal",Colombia,"August 28, 2020",2016,TV-MA,3 Seasons,"Biography, Crime, Drama",A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar who fueled the deadly cocaine wars.
s13,Movie,Bird Box,Susanne Bier,"Sandra Bullock, Trevante Rhodes, John Malkovich",United States,"December 21, 2020",2018,R,124 min,"Horror, Sci-Fi, Thriller",A woman and a pair of children are blindfolded and make a harrowing journey down a river to escape a mysterious violence.
s14,TV Show,Ozark,Bill Dubuque,"Jason Bateman, Laura Linney, Sofia Hublitz",United States,"January 21, 2022",2022,TV-MA,4 Seasons,"Crime, Drama, Thriller","A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
s15,Movie,Klaus,Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones",Spain,"November 8, 2021",2019,TV-Y7,96 min,"Animation, Comedy, Family","A selfish postman and a reclusive toymaker form an unlikely friendship in a frozen town, inspiring the legend of Santa Claus."
s16,TV Show,Squid Game,Hwang Dong-hyuk,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun",South Korea,"September 17, 2021",2021,TV-MA,1 Season,"Action, Drama, Mystery",Hundreds of cash-strapped contestants accept an invitation to compete in deadly children games for a prize of billions of won.
s17,Movie,The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci",United States,"November 27, 2020",2019,R,209 min,"Biography, Crime, Drama",Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family in Philadelphia.
s18,TV Show,Mindhunter,David Fincher,"Jonathan Groff, Holt McCallany, Anna Torv",United States,"October 13, 2020",2019,TV-MA,2 Seasons,"Crime, Drama, Thriller",In the late 1970s two FBI agents expand criminal science by delving into the psychology of murder and probing the darkest minds.
s19,Movie,Marriage Story,Noah Baumbach,"Adam Driver, Scarlett Johansson, Laura Dern",United States,"November 6, 2021",2019,R,137 min,"Drama, Romance",A stage director and his actress wife struggle through a coast-to-coast divorce that threatens to pull their family apart.
s20,TV Show,Tiger King,Eric Goode,"Joe Exotic, Carole Baskin, Doc Antle",United States,"March 20, 2020",2020,TV-MA,2 Seasons,"Crime, Documentary","A zoo owner spirals out of control amid a cast of eccentric characters, all of whom have ties to big cat breeding."
s21,Movie,Andhadhun,Sriram Raghavan,"Ayushmann Khurrana, Tabu, Radhika Apte",India,"February 14, 2020",2018,TV-14,139 min,"Crime, Drama, Thriller",A sequence of events following a blind pianist who accidentally becomes a witness to a murder.
s22,TV Show,Lupin,George Kay,"Omar Sy, Vincent Londez, Ludivine Sagnier",France,"January 8, 2021",2021,TV-14,3 Seasons,"Crime, Drama, Mystery","Inspired by the adventures of the gentleman thief Arsène Lupin, Assane Diop uses disguise and cunning to avenge his father."
s23,Movie,Dil Bechara,Mukesh Chhabra,"Sushant Singh Rajput, Sanjana Sanghi, Saif Ali Khan",India,"July 24, 2020",2020,TV-14,110 min,"Drama, Romance",Two young cancer patients fall in love while navigating the challenges of life and the inevitability of loss.
s24,TV Show,The Witcher,Lauren Schmidt,"Henry Cavill, Anya Chalotra, Freya Allan",United States,"December 20, 2021",2021,TV-MA,3 Seasons,"Action, Adventure, Drama","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
s25,Movie,Mowgli: Legend,Andy Serkis,"Rohan Chand, Matthew Rhys, Freida Pinto",United Kingdom,"December 7, 2021",2018,PG-13,104 min,"Adventure, Drama, Family",A man-cub raised by wolves in the jungle faces rejection by both humans and animals as he learns to survive.
s26,Movie,Badla,Sujoy Ghosh,"Amitabh Bachchan, Taapsee Pannu, Tony Luke",India,"May 8, 2020",2019,TV-14,118 min,"Crime, Drama, Mystery",A successful businesswoman hires a top criminal lawyer to defend her from charges of murdering her secret lover.
s27,TV Show,Emily in Paris,Darren Star,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park",France,"October 2, 2020",2020,TV-MA,4 Seasons,"Comedy, Drama, Romance",An ambitious young American woman from Chicago is hired by a French marketing firm in Paris where her life gets turned upside down.
s28,Movie,Mardaani 2,Gopi Puthran,"Rani Mukerji, Vishal Jethwa, Rajesh Sharma",India,"December 6, 2021",2019,TV-14,104 min,"Action, Crime, Thriller",A senior police officer goes on a mission to catch a ruthless killer who is targeting young women with brutal violence.
s29,TV Show,Call My Agent,Fanny Herrero,"Camille Cottin, Thibault de Montalembert, Liliane Rovère",France,"December 7, 2020",2020,TV-MA,4 Seasons,"Comedy, Drama",Follows the daily lives of agents at a talent agency in Paris who must keep their star clients happy while dealing with their own chaos.
s30,Movie,Army of the Dead,Zack Snyder,"Dave Bautista, Ella Purnell, Ana de la Reguera",United States,"May 21, 2021",2021,R,148 min,"Action, Crime, Horror","Following a zombie outbreak in Las Vegas, a group of mercenaries takes the ultimate gamble by venturing into the quarantine zone."
